Date,Name,City,State,Registration
8/27 - 8/28,Plano Clark Swing,Plano,TX,Opens 8/2 3:50 PM CDT
9/4 - 9/6,Loyola Invitational,NSDA Campus,CA,Opens 8/1 12:00 PM PDT
9/3 - 9/4,Southlake Carroll Dragon Faire,TBD,TX,Opens 8/1 12:00 PM CDT
9/11 - 9/13,National Speech and Debate Season Opener hosted by UK,NSDA Campus,KY,Due by 8/30 8:00 PM EDT
9/11,La Vernia TFA Bear Brawl,La Vernia,TX,Opens 7/31 8:00 AM CDT
9/11 - 9/12,Lexington Virtual JV Round Robin,NSDA Campus,MA,Opens 8/1 12:00 PM EDT
9/11,Princeton TFA 2021,Princeton,TX,Opens 8/2 6:00 AM CDT
9/17 - 9/18,Clash of the Titans,NSDA Campus,GA,Opens 8/9 5:00 PM EDT
9/18 - 9/20,Jack Howe Memorial Tournament,NSDA Campus,CA,Opens 8/1 5:00 PM PDT
9/15,Marist Scrimmage Series 1,Online,GA,Opens 8/15 5:00 PM EDT
9/17 - 9/19,Yale University Invitational 2021,NSDA Campus,US,Opens 8/1 1:00 PM EDT
9/24 - 9/26,Stephen Stewart Middle and High School Invitational,NSDA Campus,CA,Due by 9/20 8:00 PM PDT
9/25,GBS In Person JVNovice Opener,Glenview,IL,Due by 9/14 8:00 PM CDT
9/25 - 9/26,Ad Astra The Constellation,Online,FL,Due by 9/18 5:00 PM EDT
9/23 - 9/26,Holy Cross Navy and Old Gold Debate and Speech Exhibition,NSDA Campus,LA,Opens 7/19 12:00 AM CDT
9/24 - 9/26,Marist Ivy Street Invitational,Online,GA,Opens 8/1 5:00 PM EDT
9/30 - 10/2,Aaron Thomas Memorial Invitational at Westwood,Virtual,TX,Opens 8/1 5:00 PM CDT
10/1 - 10/3,Bellaire Forensic Tournament,Online Hopin,TX,Opens 8/5 5:00 PM CDT
10/2 - 10/3,Chuck Ballingall Memorial Invitational at Damien High School,La Verne,CA,Due by 9/27 9:00 PM PDT
10/1 - 10/3,Duke Invitational,NSDA Campus,US,Opens 8/13 9:00 AM EDT
10/8 - 10/10,Georgetown Fall 2021,Online,NY,Due by 10/1 11:00 PM EDT
10/5,GBN Online Novice Scrimmage 1,NSDA Campus,US,Due by 9/28 5:00 PM CDT
10/9 - 10/10,2021 Cal Parli Invitational,NSDA Campus,CA,Opens 8/23 5:00 PM PDT
10/8 - 10/9,2021 Teresa Sparkman Invitational,Springfield,MO,Opens 8/18 5:00 PM CDT
10/8 - 10/9,Byram Hills Invitational NIETOC Qualifier,NSDA Campus,NY,Opens 8/31 9:00 AM EDT
10/8 - 10/10,JW Patterson HS Invitational,Oklahoma City,OK,Opens 8/20 1:00 PM CDT
10/9 - 10/10,Nova Titan Invitational,NSDA Campus,FL,Opens 8/18 7:00 AM EDT
10/9,Online Policy League 1,NSDA Campus,NY,Opens 9/9 5:00 PM EDT
10/9,West Hardin Teaching Tournament,Saratoga,TX,Due by 10/1 12:00 AM CDT
10/15 - 10/17,The CSUF Invitational,NSDA Campus,CA,Due by 10/12 5:00 PM PDT
10/16,Iowa City West NoviceJV One Day,NSDA Campus,IA,Opens 9/10 8:00 AM CDT
10/15 - 10/16,Neenah Invitational,Neenah,WI,Opens 8/1 8:00 AM CDT
10/15 - 10/17,New York City Invitational Debate and Speech Tournament,Bronx/Online,NY,Opens 8/15 12:00 PM EDT
10/15 - 10/16,Polygon Invitational,Fremont,CA,Opens 9/9 12:00 AM PDT
10/19,GBN Online Novice Scrimmage 2,NSDA Campus,US,Due by 10/12 5:00 PM CDT
10/22 - 10/23,Lansing Debate Invitational,Lansing,KS,Due by 10/11 6:00 PM CDT
10/23 - 10/24,NPDL Fall Invitational,NSDA Campus,US,Opens 8/31 11:59 PM PDT
10/29 - 10/31,Kansas City Invitational,NSDA Campus,US,Due by 10/26 12:00 PM CDT
10/29 - 10/31,Florida Blue Key Speech and Debate Tournament,NSDA Campus,FL,Opens 8/31 8:00 AM EDT
11/5 - 11/6,The Hebron Standard TOC TFA and NIETOC Qualifier,Carrollton,TX,Due by 11/1 11:59 PM CDT
11/5 - 11/7,Liberty University Debate Tournament,Online,VA,Opens 9/4 5:00 PM EDT
11/5 - 11/6,The Canyon County Classic Invitational,Nampa,ID,Opens 8/1 8:00 AM MDT
11/5 - 11/6,Warrior Classic,Okarche,OK,Opens 10/25 7:00 AM CDT
11/5 - 11/6,William Tennent Invitational,Hybrid,PA,Opens 9/1 9:00 AM EDT
11/13,Dallastown Wildcat Invitational,TBD,PA,Opens 9/8 5:00 PM EDT
11/13,SF Roosevelt Sweetstakes,Sioux Falls,SD,Opens 9/1 7:30 AM CDT
11/12 - 11/13,The 34th Annual Klein High School Speech and Debate Tournament,Klein,TX,Opens 10/19 12:00 PM CDT
11/20 - 11/22,Glenbrooks Speech and Debate Tournament,NSDA Campus,IL,Opens 8/23 8:00 AM CDT
11/19 - 11/21,villiger,NSDA Campus,PA,Opens 9/14 8:00 AM EDT
12/3 - 12/5,NY Fall Faceoff at Mamaroneck HS,NSDA Campus,NY,Opens 9/3 12:00 PM EDT
12/2 - 12/4,Silver and Black,Sandy,UT,Opens 8/2 12:00 AM MDT
12/4,The Holiday Havoc Invitational,Nampa,ID,Opens 10/1 8:00 AM MDT
12/3 - 12/4,The Independence Winter Classic,Independence,MO,Opens 8/22 5:00 PM CDT
12/3 - 12/5,The Longhorn Classic,Austin,TX,No open registration
12/3 - 12/4,University of Wyoming High School Tournament,Online,WY,Opens 11/14 7:00 AM MDT
12/2 - 12/3,University of Wyoming Round Robin,Online,WY,Opens 11/17 5:00 PM MDT
12/10 - 12/12,Wyoming College Tournament,Online,WY,Opens 8/9 12:00 AM MDT
12/17 - 12/19,College Prep LD Invitational,NSDA Campus,CA,Opens 8/28 5:00 PM PDT
12/17 - 12/18,Madison Central Mid State Invitational,Online,MS,Opens 11/5 11:00 AM CDT
1/1 - 1/2,BAUDL Middle School PF Template,,CA,Opens 12/1 5:00 PM PDT
1/7 - 1/9,2022 Sunvite,TBD,FL,Opens 10/1 9:00 AM EDT
1/8 - 1/10,Billy Tate Southern Bell Forum MBA,Nashville,TN,Opens 10/19 9:00 AM CDT
1/14 - 1/17,Cavalier Invitational at Durham Academy,NSDA Campus,NC,Opens 8/31 9:45 PM EDT
1/19 - 1/22,Appalachian Speech and Debate Championship,NSDA Campus,WV,Opens 11/1 1:00 PM EDT
1/22,Broad Run Ron Richards Spartan Invitational,Ashburn,VA,Opens 11/1 7:00 AM EDT
1/22 - 1/24,Peninsula Invitational,Rolling Hills Estates,CA,Opens 11/1 10:00 AM PDT
1/29 - 1/30,Berkeley High School Parli Invitational,Berkeley,CA,Opens 11/29 7:00 AM PDT
2/4 - 2/5,Langham Creek Lobo Invitational,Houston,TX,Opens 11/1 8:00 PM CDT
2/4 - 2/5,Pennsbury Falcon Invitational,Fairless Hills (we hope!,PA,Opens 11/13 9:00 AM EDT
2/11 - 2/13,Western Series University of Wyoming,Online,WY,Due by 2/4 5:00 PM MST
2/11 - 2/12,50th Marshall Univ John Marshall,Huntington,WV,Opens 11/1 8:00 AM EDT
2/18 - 2/19,Buffalo PreRegion Battles,Tooele,UT,Opens 11/1 6:00 AM MDT
2/19 - 2/21,California Invitational Berkeley Debate,Berkeley,CA,Opens 9/5 9:00 AM PDT
2/19,Har Ber High School Speaker Series,Springdale,AR,Opens 11/4 1:00 PM CDT
2/25 - 2/26,,,MO,Due by 3/3 11:00 PM CDT
2/25 - 2/27,Ivy League Parliamentary Championships,,NY,Opens 12/28 8:00 AM EDT
2/26 - 2/27,Quarry Lane Invitational,NSDA Campus,CA,Opens 1/26 5:00 PM PDT
3/12 - 3/13,Western JV Novice Championship,Oakland,CA,Opens 1/10 3:00 PM PDT
4/22 - 4/23,IPDA HS National Championship,NSDA Campus,AR,Opens 3/4 8:00 AM CDT
4/29 - 4/30,Western States All Stars,Laramie,WY,Opens 3/23 5:00 PM MDT
5/1 - 5/2,Reagan MidWestern Qualifier,Independence,MO,Opens 7/31 9:00 AM CDT
1/5,BAUDL One Day Template,,CA,Opens 12/5 8:00 AM PDT
1/17 - 1/18,BAUDL Two Day Template,"Oakland, CA",CA,Opens 12/18 8:00 AM PDT
11/29,BC Coaching Staff Tabroom Intro,NSDA Campus,MT,Closed
1/30 - 7/31,International online debate comp The Cosmos Championship,www.globaldebating.org/o,US,Closed
6/26 - 7/10,Delta Debate Academy Practice Rounds,Online,CA,Closed
6/28 - 7/10,Platinum Debate Summer 2021,Online,NY,Closed
6/27 - 7/10,PFA Theta Session 2021,Online,MA,No open registration
7/5 - 7/26,CrowdPrep Summer Debate League,Online,US,Closed
7/5 - 7/15,Magnum Opus International Speech and Drama Competition,Online,BC,Closed
7/7 - 7/16,Missouri State Debate Insitute,Online,MO,Due by 7/16 8:00 PM CDT
7/15 - 7/30,NYCUDL BALI Summer,Online,NY,Due by 7/15 8:00 PM EDT
7/26 - 8/7,SC Debate Digital Online Summer Debate Workshop,Online,CA,Due by 7/24 8:00 PM PDT
